Rank,image_path,name,mudra,origin,medium,topic
42,data/crop/FS-6333_09.png,Queen as the Goddess Prajnaparamita,prajnaparamita,Nepal,Gilt copper,portrait   Buddhism   casting   Nepal   queen   Prajnaparamita   mudra   South Asian and Himalayan Art   gilding   WWII-era provenance  
43,data/crop/FS-6404_05.png,The Buddha calling the earth to witness,bhumisparsha,Thailand,Ivory,Buddhism   Buddha   Thailand   Laos   Cambodia   bhumisparsha mudra   Post-Angkor period (1431 - 1863)   South Asian and Himalayan Art   Bangkok period (1782 - 1932 )   Lan Sang period (1271 - 1707)   ivory  
44,data/crop/FS-6405_02.png,The Buddha calling the earth to witness,bhumisparsha,Thailand,Ivory,Buddhism   Buddha   Thailand   Laos   Cambodia   bhumisparsha mudra   Post-Angkor period (1431 - 1863)   South Asian and Himalayan Art   Bangkok period (1782 - 1932 )   Lan Sang period (1271 - 1707)   ivory  
45,data/crop/FS-6405_04.png,The Buddha calling the earth to witness,bhumisparsha,Thailand,Ivory and gilding,Buddhism   Buddha   Thailand   Laos   Cambodia   bhumisparsha mudra   Post-Angkor period (1431 - 1863)   South Asian and Himalayan Art   gilding   Bangkok period (1782 - 1932 )   Lan Sang period (1271 - 1707)   ivory  
46,data/crop/FS-6405_06.png,The Buddha calling the earth to witness,bhumisparsha,Thailand,Ivory and gilding,Buddhism   Buddha   Thailand   Laos   Cambodia   bhumisparsha mudra   Post-Angkor period (1431 - 1863)   South Asian and Himalayan Art   gilding   Bangkok period (1782 - 1932 )   Lan Sang period (1271 - 1707)   ivory  
47,data/crop/FS-6424_06.png,Standing Buddha,abhaya,Thailand,Stone,Buddhism   Buddha   Dvaravati period (ca. 500 - 900)   Thailand   abhaya mudra   South Asian and Himalayan Art   WWII-era provenance  
48,data/crop/FS-6553_05.png,Standing Buddha and tabernacle,abhaya,Thailand,Bronze,Buddhism  Search this Buddha   casting   bodhi tree   Thailand   abhaya mudra   Southeast Asian Art   Lopburi period (900 - 1300)   WWII-era provenance  
49,data/crop/FS-6685_02.png,"Bodhisattva Avalokiteshvara (Guanyin), Head",bhumisparsha,China,Stone with traces of pigment and gilding,Buddhism   bodhisattva   Ming dynasty (1368 - 1644)   Guanyin   China   bhumisparsha mudra   Chinese Art   gilding  
50,data/crop/FS-6741_03.png,Sakyamuni Buddha seated on a lion throne,abhaya,China,Bronze,Buddhism   casting   Period of Division (220 - 589)   China   throne   Shakyamuni   abhaya mudra   Chinese Art   gilding  
51,data/crop/FS-6741_08.png,Buddha Mile (Maitreya),dhyana,China,Bronze and gilt,Buddhism   casting   Liu Song dynasty (420 - 479)   Maitreya Buddha   China   mandorla   dhyana mudra   Chinese Art   gilding  
52,data/crop/FS-6742_03.png,The Buddhas Duobao (Prabhutaratna) and Sakyamuni standing side-by-side,abhaya,China,Bronze,Buddhism   casting   Period of Division (220 - 589)   Manjushri   China   Vimalakirti   Gautama Buddha   Prabhutaratna Buddha   abhaya mudra   varada mudra   Chinese Art   gilding  
53,data/crop/FS-6743_02.png,Four-sided miniature stele,abhaya,China,Marble with traces of red and black pigments.,Buddhism   Western Wei dynasty (535 - 556)   Maitreya Buddha   shrine   China   Shakyamuni Buddha   abhaya mudra   Chinese Art  
54,data/crop/FS-6743_06_abhaya.png,The Buddhas Prabhutaratna and Sakyamuni seated sided by side,abhaya,China,Gilt bronze,Buddhism   Sui dynasty (581 - 618)   casting   China   Shakyamuni   Prabhutaratna Buddha   abhaya mudra   varada mudra   Chinese Art   gilding   WWII-era provenance  
55,data/crop/FS-6743_06_varada.png,The Buddhas Prabhutaratna and Sakyamuni seated sided by side,varada,China,Gilt bronze,Buddhism   Sui dynasty (581 - 618)   casting   China   Shakyamuni   Prabhutaratna Buddha   abhaya mudra   varada mudra   Chinese Art   gilding   WWII-era provenance  
56,data/crop/FS-6743_08.png,Buddha Bhaisajyaguru (Yao shih fo),abhaya,China,Gilt bronze,Buddhism   casting   Period of Division (220 - 589)   Northern Wei dynasty (386 - 534)   China   Buddha Bhaisajyaguru   abhaya mudra   Chinese Art   gilding   WWII-era provenance  
57,data/crop/FS-6907_04.png,Vairochana Buddha,vajra,China,Bronze and gilt,Buddhism   Buddha   Liao dynasty (907 - 1125)   casting   ushnisha   China   Vairocana Buddha   vajra mudra   Chinese Art   gilding   WWII-era provenance  
58,data/crop/FS-6912_01.png,Seated Buddha,dhyana,Cambodia,Bronze,Buddhism   Buddha   casting   Angkor period (802 - 1431)   Cambodia   dhyana mudra   Southeast Asian Art   WWII-era provenance  
59,data/crop/FS-7065_03.png,Seated Buddha with attendant figures and worshipper,abhaya,Pakistan,Schist,Buddhism   Buddha   worship   Kushan dynasty (1st century BCE - 299 CE)   halo   Pakistan   abhaya mudra   schist   South Asian and Himalayan Art   attendant   WWII-era provenance  
60,data/crop/FS-7108_02.png,Prajnaparamita,dharmachakra,Bangladesh,Copper alloy,Buddhism   Buddhism   casting   lotus   Pala-Sena dynasty (750 - 1100)   Bangladesh   Prajnaparamita   dharmachakra mudra   South Asian and Himalayan Art   WWII-era provenance  
61,data/crop/FS-7108_06.png,Buddha,abhaya,Bangladesh,Bronze,Buddhism   Buddha   casting   Bangladesh   abhaya mudra   South Asian and Himalayan Art   WWII-era provenance  
62,data/crop/FS-7108_10.png,Tara,undefined,Bangladesh,Copper alloy,Buddhism   flower   bodhisattva   casting   Pala-Sena dynasty (750 - 1100)   Bangladesh   Tara   mudra   South Asian and Himalayan Art   WWII-era provenance  
63,data/crop/FS-7231_40.png,Image of seated Kannon,dhyana,Japan,"Ceramic, Sculpture",Buddhism   bodhisattva   Edo period (1615 - 1868)   Meiji era (1868 - 1912)   Kannon   Japan   dhyana mudra   Japanese Art  
64,data/crop/FS-7259_01.png,Dehua ware image of seated Buddha,dhyana,"Fujian,China",Glazed clay,Buddhism   Buddha   Dehua ware   Ming dynasty (1368 - 1644)   ushnisha   China   dhyana mudra   Chinese Art  
65,data/crop/FS-7259_24.png,Bodhisattva Avalokiteshvara (Guanyin),dhyana,China,Stone,Buddhism   bodhisattva   inscription   Guanyin   forgery   China   lettering   dhyana mudra   Chinese Art  
66,data/crop/FS-7311_62.png,Bodhisattva,anjali,"Xinjiang, China",Stucco with pigment,Buddhism   bodhisattva   China   mandorla   anjali mudra   Chinese Art   WWII-era provenance  
67,data/crop/FS-7319_14.png,"Amitabha Buddha (Amida), the Buddha of Infinite Light",abhaya,Japan,Gilt bronze,Buddhism   Buddha   Kamakura period (1185 - 1333)   casting   Amitabha Buddha   Japan   abhaya mudra   Japanese Art   gilding   WWII-era provenance  
68,data/crop/FS-7376_46.png,Panel from a temple hanging: recto: crowned god Balarama; verso: Vishnu,varada,India,"Opaque watercolor, gold, and paper applique on cotton",lion   Vishnu   lotus   India   Balarama   varada mudra   South Asian and Himalayan Art   WWII-era provenance  
69,data/crop/FS-7402_22.png,Carving of Shakymuni Buddha as an ascetic,abhaya,China,Jade,Buddhism   Buddha   Ming dynasty (1368 - 1644)   Qing dynasty (1644 - 1911)   ascetic   China   abhaya mudra   Chinese Art   WWII-era provenance  
70,data/crop/FS-7413_34.png,"Seated Jina, probably Mahavira",abhaya,"Karnataka state, India",Bronze,casting   Mahavira   India   abhaya mudra   South Asian and Himalayan Art   WWII-era provenance  
71,data/crop/FS-7423_11_abhaya.png,Stele with Buddhist triad,abhaya,China,Stone,Buddhism   Qing dynasty (1644 - 1911)   forgery   China   halo   lettering   abhaya mudra   varada mudra   anjali mudra   Chinese Art  
72,data/crop/FS-7423_11_anjali.png,Stele with Buddhist triad,anjali,China,Stone,Buddhism   Qing dynasty (1644 - 1911)   forgery   China   halo   lettering   abhaya mudra   varada mudra   anjali mudra   Chinese Art  
73,data/crop/FS-7423_11_varada.png,Stele with Buddhist triad,varada,China,Stone,Buddhism   Qing dynasty (1644 - 1911)   forgery   China   halo   lettering   abhaya mudra   varada mudra   anjali mudra   Chinese Art  
74,data/crop/FS-7423_26_abhaya.png,Buddhist Trinity,abhaya,China,Stone,lion   Qing dynasty (1644 - 1911)   lotus   shrine   forgery   China   apsara   lettering   abhaya mudra   varada mudra   Chinese Art  
75,data/crop/FS-7423_26_varada.png,Buddhist Trinity,varada,China,Stone,lion   Qing dynasty (1644 - 1911)   lotus   shrine   forgery   China   apsara   lettering   abhaya mudra   varada mudra   Chinese Art  
76,data/crop/FS-7423_30_abhaya.png,Buddhist tablet in the form of a miniature shrine,abhaya,China,Stone,Buddhism   Period of Division (220 - 589)   shrine   forgery   China   abhaya mudra   varada mudra   anjali mudra   Chinese Art  
77,data/crop/FS-7423_30_anjali.png,Buddhist tablet in the form of a miniature shrine,anjali,China,Stone,Buddhism   Period of Division (220 - 589)   shrine   forgery   China   abhaya mudra   varada mudra   anjali mudra   Chinese Art  
78,data/crop/FS-7456_06.png,The Buddha calling the earth to witness,bhumisparsha,Thailand,Ivory,Buddhism   Buddha   Thailand   Laos   Cambodia   bhumisparsha mudra   Post-Angkor period (1431 - 1863)   South Asian and Himalayan Art   Bangkok period (1782 - 1932 )   Lan Sang period (1271 - 1707)   ivory  
79,data/crop/FS-7475_38.png,Figure of a seated bodhisattva,dhyana,"Tibet,China",Brass with silver and copper inlay,Buddhism   bodhisattva   Tibet   dhyana mudra   South Asian and Himalayan Art   WWII-era provenance  
80,data/crop/FS-7490_15.png,Eleven-Headed Kannon,varada,Japan,Color and gold on silk,Buddhism   bodhisattva   Kamakura period (1185 - 1333)   Avalokiteshvara   Amitabha Buddha   Kannon   Japan   halo   varada mudra   kalasa   kakemono   Japanese Art  
81,data/crop/FS-7512_05.png,Statuette of Buddha,bhumisparsha,China,Bronze,Buddhism   Buddha   Tang dynasty (618 - 907)   casting   China   bhumisparsha mudra   dhyana mudra   Chinese Art   gilding  
82,data/crop/FS-7517_07.png,Bronze figure of the Buddha,dhyana,China,Bronze,Buddhism   Modern period (1912 - present)   casting   Northern Wei dynasty (386 - 534)   Japan   Shakyamuni   dhyana mudra   Chinese Art  
83,data/crop/FS-7550_24.png,The Buddhas Duobao (Sanskrit Prabhutaratna) and Sakyamuni,abhaya,China,Bronze,Buddhism   casting   Period of Division (220 - 589)   China   Shakyamuni   Prabhutaratna Buddha   abhaya mudra   varada mudra   Chinese Art   gilding  
